id,AB_S_19,AB_S_20,AB_S_27,AB_S_28,AB_S_34,AB_S_38,AB_S_9,Alagille_S_13,Alagille_S_16,Alagille_S_2,Alagille_S_5,Alagille_S_6,Alagille_S_7,Alagille_S_8,BSEP_S_15,BSEP_S_17,BSEP_S_18,BSEP_S_24,BSEP_S_36,FIC1_S_23,MDR3_S_1,MDR3_S_14,MDR3_S_31,MDR3_S_33,TJP2_S_25,TJP2_S_26
C1orf112,60.9020023212392,36.7109901141885,17.4364874827978,46.0809668368128,37.5780690951671,56.3650291863867,38.1797315716827,18.7067670003788,18.6305930595912,32.7873925124923,30.0487704961044,31.8294278561682,27.5355638553873,59.3818553992048,36.6035222651462,28.0122019651615,40.8309307621599,31.1267865709077,74.7981762191502,66.5855154128296,46.3400432391808,47.2551868319989,39.0029696195107,55.2081177759764,40.2920487429249,25.1485599608279
CFH,18792.007312736,19683.4752212249,17346.1347749324,19034.8110816649,17821.9518870462,22892.2539966996,15229.8302125348,15296.2895416222,24158.5561717013,14607.7476993892,24977.8128326861,17900.1820224634,17012.1192454784,24949.176579577,20131.9372458304,17011.4100791288,16099.0527005088,29315.2075924808,25515.4124334733,22208.1718334762,11806.2845162623,12458.1174300424,16817.6588462074,23499.8066201546,18651.9516451032,17256.4029474066
ENPP4,170.952988971899,219.467875682648,156.92838734518,219.165573979963,138.154665791056,162.832306538451,196.722684708331,154.330827753125,191.628957184367,131.149570049969,205.78854945817,172.911216191616,142.537036427887,271.617005251918,228.336257939722,217.094565230002,284.844350316973,239.676256595989,131.12766695209,175.976005019621,115.270857557462,147.016136810663,186.581773585227,180.436287365386,277.688444039077,273.041508146131
CYP51A1,1346.25478815371,1071.00323333132,1127.03114547902,1866.84111990112,637.721937291513,1098.67072763306,714.413960256571,1367.9323369027,1381.32539970398,1440.71660040187,2034.21070570598,731.216585884944,1026.91455790091,1406.47024177005,934.261330196113,869.378696704477,1257.98153348178,957.926856719684,2992.85048304032,942.660653915916,634.279341836288,1467.16103878397,625.101648226213,1323.64828716548,2018.95833430764,815.531873015418
HS3ST1,25.6429483457849,61.4510051911416,68.1608147054824,29.2220765306617,76.2613755166627,37.5766861242578,146.894899436813,2.33834587504735,17.2998364124775,6.75034551727783,7.28455042329804,104.951086444663,69.6487791636266,25.2922717441057,65.3634326163325,121.052729920877,248.874244645546,21.7887505996354,19.3921197605204,36.1464226526789,81.6743262090562,56.2561747999987,33.7322980493066,47.1288810282726,8.71179432279458,324.236790923531
CYP26B1,13.8899303539668,7.98065002482358,9.51081135425335,49.452744898043,15.4733225685982,16.1042940532534,8.4124832276589,12.8609023127604,11.9768098240229,0.964335073896833,8.1951192262103,27.5281538215508,7.28882572642604,2.19932797774832,24.4023481767641,21.0091514738711,6.80515512702665,41.2429922064527,5.54060564586298,4.75610824377354,13.9020129717543,5.25057631466655,13.7037460825308,13.4653945795064,1.08897429034932,8.98162855743853
DBNDD1,349.38517121132,226.65046070499,393.113535975805,271.990096939236,292.887891477038,290.771975961519,206.429396124861,695.657897826586,347.327484896664,1234.34889458795,779.44689529289,267.539244953197,526.415191352992,487.151147071254,318.102038732818,298.129863772076,156.518567921613,221.778354317717,1289.11424693745,1223.27104029856,96.73484026179,255.778074757328,94.8720882636748,290.852522917339,922.361223925876,279.328648136338
NDUFAF7,169.884532790825,167.593650521295,139.491899862382,271.990096939236,144.786089749026,170.884453565077,128.128590698189,148.484963065507,175.659877419003,147.543266306215,195.772292626135,149.684336404683,142.537036427887,133.059342653774,145.5425766257,142.061881394748,144.852587703853,126.841655276449,165.294735101579,121.756371040603,190.573427821131,145.51597214933,118.063043172573,115.802393383755,131.765889132268,120.353822669676
POLDIP2,2037.54593730883,1864.27984579879,1892.65145949642,2712.03348724949,1797.11589261005,1917.30567534011,1363.46939697518,1777.14286503598,1795.19071695632,1802.34225311318,1989.59283436328,955.743090491968,1384.06701849579,1712.17683067707,1523.40373617799,1613.7029203502,1379.50216075012,2101.05809353627,2390.77133618988,1609.46702969297,1007.89594045218,1839.20187479463,1589.63454557357,1824.56096552312,1914.41680243411,1606.81334892575
CD38,48.0805281483467,29.5284050918473,53.8945976741023,107.896897959366,30.9466451371965,53.6809801775112,57.5931544047417,28.0601505005682,105.129775121979,8.6790156650715,31.8699081019289,113.553634513897,28.3454333805457,117.664046809535,67.9779699209858,39.0169955943321,12.6381452359066,71.5916091130877,33.2436338751779,116.049041148074,62.5590583728941,76.5083977279983,103.305162776001,76.7527491031867,56.6266630981647,41.3154913642172
HSPB6,193.390568774461,263.361450819178,267.887853144803,118.012232143057,620.038140070258,192.356845636082,471.099060748899,675.781957888684,182.313660654571,140.792920788938,76.4877794446294,837.888181943453,449.477586462939,321.101884751255,349.476486388658,543.236630967239,550.245400271012,236.563577938898,117.276152837433,221.634644159847,922.166860459699,252.027663103994,262.479444196167,539.962322638208,141.566657745412,901.755507166828
ST7,364.343557746361,304.860830948261,388.358130298679,410.232997449675,266.362195645155,425.869109408255,260.786980057426,417.394738695952,412.534560605233,388.627034780424,435.251887792058,209.902172889325,323.137940538221,320.002220762381,305.029352209552,247.107638764103,283.872185298826,405.426395086072,392.459566581961,349.098345092978,220.115205386109,346.538036767992,365.784606972168,355.48641689897,377.874078751215,225.438876791707
MCUB,81.2026697616522,54.2684201688004,87.1824374139891,43.8331147959926,144.786089749026,93.0470323076861,99.0084564486009,36.2443610632339,51.8995092374326,29.8943872908018,26.4064952844554,220.225230572407,116.621211622817,68.1791673101981,73.2070445302924,118.051422567466,154.57423788532,39.6866528779073,56.3294907329403,75.146510251622,215.481201062191,74.2581507359983,107.521700032165,79.445828019088,80.5840974858498,126.640962659883
POLR2J,414.560998256856,326.408586015285,413.720293910021,419.224405612955,560.355324448522,385.608374275122,353.971409656109,576.402258199171,255.505276245822,436.843788475265,386.991741237708,257.216187270116,324.757679588538,283.713309129534,376.493371870075,348.151652995579,270.261875044773,338.503803958621,395.229869404892,273.000613192601,357.976834022672,413.295364197324,320.456831468413,316.436772618401,466.08099626951,338.607396615432
MEOX1,3.20536854322311,28.7303400893649,11.0959465799622,2.24785204082013,48.6304423584516,23.2617580769215,18.7663087386237,17.5375940628551,1.33075664711366,0,0.910568802912255,24.087134593857,11.3381733522183,14.2956318553641,10.4581492186132,25.0108946117514,12.6381452359066,5.44718764990884,3.69373709724199,7.60977319003767,17.3775162146928,8.25090563733315,34.7864323633474,32.3169469908155,4.35589716139729,7.18530284595082
COPZ2,163.473795704379,106.142645330154,199.72703843932,141.614678571668,259.730771687185,200.408992662708,126.834362509319,143.808271315412,153.03701441807,191.90267970547,112.91053156112,107.531850865433,141.727166902729,124.26203074278,86.2797310535589,128.055780412167,69.0237162884132,140.070539569085,153.290089535542,89.4148349829426,109.478352152565,120.013172906664,123.333714742777,148.119340374571,133.943837712967,85.325471295666
CROT,141.036215901817,227.448525707472,202.897308890738,178.704237245201,154.733225685982,249.616557825427,136.541073925848,87.6879703142756,85.168425415274,111.862868572033,130.211338816452,55.0563076431017,158.734426931056,94.5711030431779,128.983840362896,132.057523550047,88.4670166513464,219.443845324899,119.123021386054,96.0733865242256,94.9970886403207,186.020418005329,91.7096853215523,148.119340374571,135.032812003316,137.418916928809
ABCB4,4693.72800345971,5282.39225143073,4019.90293239775,3102.03581633179,3338.92196283823,4724.82093862394,1555.66228302246,3492.31956438322,4986.34515673487,4394.47493174787,7311.86748738541,2309.7841565895,3375.53618086042,6567.1933415565,3954.92342950556,2964.29122938477,1604.072279942,3165.59419426131,10759.8561642659,9151.70348266905,1716.31935147116,2681.54433213327,938.179539496339,4011.34104523497,5117.09019035146,2361.27014775059
SOX8,3.20536854322311,10.3748450322707,4.75540567712668,4.49570408164027,11.0523732632845,10.7361960355022,10.3538255109648,2.33834587504735,1.33075664711366,5.786010443381,3.64227521164902,92.9075191477341,20.2467381289612,5.49831994437081,17.4302486976887,28.0122019651615,43.7474258165999,3.89084832136346,6.46403992017347,2.85366494626413,57.9250540489761,15.001646613333,29.5157607931433,9.42577620565451,3.26692287104797,29.6393742395471
